edge,v0,v1,l0,lfinal,scale
0,0,1,0.16636986175550794,0.15577514382826885,0.93631828616406032
1,1,2,0.15925744110917095,0.12613399670935874,0.792013207237795
2,2,0,0.17914162515576693,0.14540995009229676,0.81170386818730789
3,3,1,0.1493938522770569,0.14644506909952498,0.98026168324474772
4,1,4,0.15101183658264578,0.14384366192050238,0.95253236551281595
5,4,3,0.18656062259010484,0.19067047016071884,1.0220295553989645
6,0,4,0.26328081391029096,0.25701835815420243,0.97621377850107083
7,0,5,0.12774445243730809,0.12815084173265337,1.0031812676604859
8,5,4,0.18441309561626307,0.1882033753965901,1.0205532029472248
9,5,6,0.16484748349161318,0.18494121367141783,1.1218928536499433
10,6,4,0.1911090453294888,0.20864027367278165,1.0917341631478901
11,5,7,0.14383616506666341,0.15777756114252858,1.0969255268270242
12,7,6,0.25044913616591707,0.29388534634683072,1.1734332601256732
13,0,7,0.15357236502164309,0.16113856756840195,1.0492679952261759
14,8,0,0.22502957123286227,0.21287486345202442,0.94598617544242636
15,2,8,0.29229196624178982,0.23388942544890517,0.80019108447006415
16,2,3,0.24158757761360788,0.20530084493609804,0.84979884712637677
17,3,9,0.12610499839165012,0.11923319051699761,0.94550725219225318
18,9,2,0.19667460541088497,0.1502462178862751,0.76393298246302066
19,9,10,0.10783316163772647,0.085948270631453078,0.79704860106209896
20,10,2,0.21842458223889699,0.15647234487129713,0.71636783400212256
21,10,11,0.1282848202281735,0.098175642574930125,0.7652943068424638
22,11,2,0.18707404054114846,0.13721843635064004,0.73349800941760135
23,10,12,0.15678755962251825,0.13503202217975019,0.86124194103698848
24,12,11,0.090139328025917093,0.079488142735011869,0.88183642452001898
25,10,13,0.11726928790330371,0.088834780686429193,0.75752809857325432
26,13,12,0.072186308841319116,0.063010530021912925,0.87288754659035817
27,11,14,0.23047312188910252,0.19720210371843211,0.85564035451092846
28,14,2,0.18534774071889004,0.14845203323434356,0.80093791625707045
29,11,15,0.11037517884487578,0.087695510640298138,0.79452202531465654
30,15,14,0.17660306462771744,0.1532159896381089,0.86757265487488033
31,12,15,0.12304481806013426,0.11001856041989874,0.89413404119245932
32,12,16,0.110881207252988,0.10202744831141215,0.92015095108610245
33,16,15,0.17043348479222414,0.14129666479595479,0.82904286659519921
34,13,16,0.107989819450988,0.087400812480310439,0.80934307441802844
35,15,17,0.12141167257017881,0.099389632200505382,0.81861677791363785
36,17,14,0.19067532673252877,0.16809719197191028,0.88158858753502944
37,15,18,0.11917718446359332,0.092849537108478514,0.77908819147210617
38,18,17,0.10460745753340021,0.082815069965366625,0.79167462739379291
39,16,18,0.094136702987970708,0.075474814682083446,0.80175757474455023
40,16,19,0.11438894592952475,0.092034552407409584,0.80457557904338284
41,19,18,0.099118284696451814,0.074942859381206942,0.75609520090786753
42,19,20,0.11487977687037243,0.089574757507879535,0.7797260749292152
43,20,18,0.17172691695656994,0.13343097393199077,0.77699510534935945
44,20,17,0.14831781807289476,0.12108926148161668,0.81641749491018079
45,20,21,0.20614419905269118,0.1866644412004182,0.90550421529303426
46,21,17,0.14311038659404543,0.13203530549780271,0.92261161918555301
47,20,22,0.17255761504024791,0.16072539346988957,0.93143031347762562
48,22,21,0.17909177832978251,0.18850923630994754,1.0525845355269383
49,20,23,0.060989296550234308,0.049176589022537319,0.80631507172791606
50,23,22,0.18912247199797722,0.17726150094952475,0.93728417927733454
51,19,23,0.11957611766052972,0.093822591626297233,0.78462650788391219
52,23,24,0.1458683311008625,0.13610583086124997,0.9330732026209162
53,24,22,0.14392615824098176,0.15513187450321803,1.077857398538173
54,23,25,0.18831865686431074,0.15644380087380685,0.83073978690560291
55,25,24,0.1749528125858523,0.16713829213273354,0.95533355344439497
56,19,25,0.24500639843986741,0.19682475389199908,0.80334536218369956
57,16,25,0.29771528548902709,0.25361212559742069,0.85186128478703216
58,13,25,0.25226099319048817,0.20385351316996372,0.80810556793467148
59,10,25,0.18173552347097188,0.14490213983978639,0.79732424939437452
60,9,25,0.1319527992815972,0.11219480920406311,0.85026471446529106
61,3,25,0.17306081775062518,0.16368684753521698,0.9458342429138652
62,14,8,0.28396007662249967,0.26505946213987458,0.93343918374922885
63,14,26,0.20954802246067042,0.20133016556788549,0.96078294227602501
64,26,27,0.1719313661937433,0.16435823439796962,0.95595258757357982
65,27,14,0.18635571838674109,0.17323871983934397,0.92961311484858422
66,24,28,0.21576891488195019,0.22602844384820539,1.0475486887064724
67,28,22,0.24382161780361586,0.25656770870941553,1.0522762953532114
68,24,29,0.29646300033740181,0.28976533609886868,0.97740809399179462
69,29,30,0.12566082999206546,0.1158639841581577,0.92203739355751224
70,30,24,0.30879909040090198,0.31257508156281999,1.0122279866725508
71,24,31,0.32269391754402954,0.31895221063425105,0.98840478017603806
72,31,29,0.10238673827368681,0.092182554460008032,0.90033686016637926
73,25,31,0.31452918339257924,0.27678661113007091,0.88000295598834788
74,3,32,0.1799383148344034,0.18111935979532734,1.0065636102128157
75,32,31,0.12634690903412965,0.11832457278731529,0.93650548075816153
76,31,3,0.21596629963178457,0.21133957316609883,0.97857662758692376
77,21,14,0.15936501650140628,0.15582499631251867,0.97778671714405796
78,21,26,0.17719413601670397,0.17816713225047554,1.0054911311155343
79,4,33,0.16755934585179835,0.16144467941727575,0.96350745818779415
80,33,32,0.10803224467985385,0.10251472501643211,0.94892710338684028
81,32,4,0.18859376352308133,0.1844617255154907,0.9780902722847199
82,4,34,0.20784161257979797,0.203322152969626,0.97825527066464235
83,34,33,0.11002098996947011,0.10441951134226718,0.94908718210263976
84,6,34,0.22390901837069221,0.2407905917540496,1.075394789840082
85,6,35,0.24013085422808719,0.25482124851956628,1.0611766211330989
86,35,34,0.096863690718381967,0.092105164345492929,0.95087399274591133
87,6,36,0.31097942480390456,0.3202256500441536,1.0297325948367146
88,36,35,0.13852422555079358,0.12612617697535822,0.91049905873042192
89,6,37,0.19698585019424644,0.22097073637902229,1.1217594368383541
90,37,36,0.36879854315240762,0.35496109567641104,0.96247965797880553
91,37,38,0.23459677393257067,0.23851156960293909,1.0166873380428225
92,38,36,0.22573987353560435,0.21067859842769285,0.93328039538599283
93,37,39,0.24548576175075165,0.26514755068956714,1.0800933984871133
94,39,38,0.15461673703144233,0.16193413253891981,1.0473260246462803
95,37,40,0.18854773484210843,0.19516442092229022,1.0350928961608723
96,40,39,0.13653701159123677,0.14558753793771742,1.066286248988487
97,37,41,0.18684134979303257,0.20095549218413686,1.0755407858417785
98,41,40,0.10641587603328699,0.1129915081503888,1.061791833720797
99,37,42,0.22124100459062226,0.27132797517045326,1.226390992359262
100,42,41,0.10187873959826398,0.12816592263771395,1.2580242270674686
101,37,43,0.26235209257567721,0.28484309216917653,1.0857283026511848
102,43,42,0.098326125639464551,0.12486830222578509,1.2699402260966079
103,37,44,0.22955017980289827,0.22481550951729695,0.97937413819642094
104,44,43,0.087793681959948522,0.089036119306142872,1.0141517853956865
105,37,45,0.18058646439152509,0.18352499265914685,1.0162721402045438
106,45,44,0.086657193177805,0.082261464826810834,0.9492745127115424
107,37,46,0.16031258383392211,0.17098812732895174,1.066592049355833
108,46,45,0.092603318500684012,0.095734413524331013,1.0338119094903049
109,6,46,0.1137045316266105,0.12975049283760079,1.1411198039466268
110,7,46,0.20989575894961404,0.2341858592140825,1.1157245881766451
111,7,45,0.22421716153017171,0.23836228088590136,1.063086693539407
112,7,47,0.17599104005070032,0.18586912342775824,1.0561283311594283
113,47,45,0.11274783344217872,0.11033401570601942,0.97859100558772871
114,7,48,0.21439291933621449,0.23099199009145902,1.077423595922091
115,48,47,0.096633978311853427,0.09584045776570603,0.99178838996376018
116,48,43,0.14634620379532656,0.1560858772827956,1.0665522796962368
117,43,47,0.14913157638185606,0.15591287047749963,1.0454718863715344
118,44,47,0.10285211152845734,0.096995825466075533,0.94306110029873835
119,7,49,0.18672564441388648,0.21185806711648833,1.1345954530321214
120,49,48,0.15720089787922506,0.16749366596046428,1.0654752499514792
121,48,50,0.088684262254438456,0.092701631350568844,1.0452996844536453
122,50,43,0.14001867641484947,0.15428372859748665,1.1018796388302692
123,50,42,0.093770894266069896,0.11671052124495249,1.244634832145171
124,50,41,0.13079672149449637,0.14276992821246395,1.0915405721271951
125,50,51,0.20692199041998913,0.22284069007412885,1.076930922720343
126,51,41,0.1673285012307639,0.18213978616479615,1.088516211076354
127,51,40,0.12015536740394567,0.12587240234991109,1.047580354248725
128,51,39,0.16618402517692543,0.18165970427117009,1.0931237468689827
129,52,53,0.20475377567570419,0.21262999817682543,1.0384667998190953
130,53,49,0.13625053627475298,0.15095865235136477,1.107949050908339
131,49,52,0.17336212770468043,0.1823160812399946,1.0516488442652658
132,48,53,0.21720693972393293,0.22852774292507791,1.0521198964247347
133,53,50,0.1866534591155416,0.20288656345246822,1.0869692124316757
134,53,51,0.088634073696104182,0.096075570478112285,1.0839575173710558
135,49,8,0.31917794918912207,0.32649180297961788,1.0229146587634792
136,8,52,0.29591949389797356,0.28371729106085802,0.95876512670259373
137,7,8,0.26258678879059627,0.27161602616370156,1.0343857260096425
138,54,32,0.22848810948262449,0.2291197565605087,1.0027644636708426
139,33,54,0.20740303116254233,0.20487557018288111,0.98781377029306561
140,54,31,0.25565941320088603,0.24923804495604629,0.97488311435732622
141,54,55,0.21260797828020139,0.20935215974323135,0.98468628240903022
142,55,31,0.097262488235004635,0.089444708309834892,0.91962183913822459
143,54,56,0.11604478057733586,0.12406273450528858,1.0690936196187584
144,56,55,0.19142733551103022,0.1930529401593653,1.008492019407758
145,54,57,0.093999210587942333,0.1016004799074504,1.0808652463351975
146,57,56,0.078019559501067856,0.086367356064920922,1.1069962021989987
147,54,58,0.14477127772729181,0.14961051631086189,1.0334267864423068
148,58,57,0.11608451419772828,0.12421796089229928,1.070064872569628
149,54,59,0.20360968588625372,0.20210257232416531,0.99259802619149284
150,59,58,0.16843927148945764,0.16552184411097429,0.98267964856006895
151,54,34,0.22481805860330276,0.2254775903566858,1.00293362444939
152,34,59,0.1536313449731869,0.14651573630330622,0.95368387439996338
153,35,59,0.098015282778634666,0.092239721268691302,0.94107488805610717
154,36,59,0.14667286636523416,0.1339401406219109,0.91318963037364287
155,36,60,0.079779269581719242,0.071157743720624042,0.89193275513428927
156,60,59,0.098588348815119936,0.090887130010257583,0.92188510206916807
157,36,61,0.11347244866967982,0.10159598569629166,0.89533615328985516
158,61,60,0.071707569512321379,0.064813720132958677,0.90386162261184788
159,36,62,0.27321611627993342,0.243679744453945,0.89189374247701458
160,62,61,0.18075519517168759,0.16337053795169018,0.90382208819234844
161,36,63,0.248348894775241,0.22416583905816451,0.90262466946364928
162,63,62,0.15204052379832236,0.13853623649430258,0.91117968442457575
163,38,63,0.19083562478873867,0.18195437626087249,0.95346126522394337
164,39,63,0.27130999654050725,0.27481646379815516,1.0129242095844573
165,61,64,0.13306646067613914,0.11930003383606538,0.89654472832505205
166,64,60,0.10783266629814579,0.096309315619409933,0.89313673607146993
167,61,65,0.15717622815224455,0.15211426141789511,0.96779432364640849
168,65,64,0.10076604653483402,0.096363662142140968,0.95631083540455086
169,61,66,0.23182707977973929,0.23042804582962231,0.99396518322429717
170,66,65,0.089072555245697807,0.094437003549164095,1.0602256024728267
171,61,67,0.25366928078807577,0.25117694843123739,0.99017487514020053
172,67,66,0.047206107021364893,0.051206525148110693,1.0847436566827098
173,62,67,0.23248073558647409,0.22931151775660358,0.9863678260399702
174,64,58,0.11577730306998127,0.11022409631588032,0.95203544557654507
175,59,64,0.10089434307904942,0.092260037763349192,0.91442230503512612
176,58,68,0.1439589715158538,0.15325046927756261,1.0645426795139723
177,68,57,0.063018848609758052,0.070165783742299731,1.113409484467081
178,58,69,0.13710891642987291,0.14094693160096142,1.0279924549841479
179,69,68,0.071768262677630534,0.076765692018677473,1.0696328593530882
180,58,70,0.15292044606349051,0.1599805512621538,1.046168484204735
181,70,69,0.060704083157405317,0.063810360058773802,1.0511708066377334
182,58,66,0.17043076450672592,0.17988722450045222,1.0554856397029957
183,66,70,0.12905859432641154,0.13929086116703307,1.0792838856956892
184,58,65,0.1186992366773279,0.12198660747779312,1.0276949615893622
185,55,29,0.081285060902414039,0.0739198549180832,0.9093904107032279
186,55,30,0.1637158876629001,0.15418552616917719,0.9417871922525537
187,55,71,0.10037834965636735,0.092290628112558337,0.91942762984750881
188,71,30,0.1483201390613878,0.13826613997275758,0.93221420130634447
189,56,71,0.13836863669177285,0.13812524535107124,0.99824099343232098
190,30,28,0.2220034437935916,0.21938479893347015,0.9882044854107932
191,30,72,0.16301999403613682,0.16002973344546631,0.98165709299432524
192,72,28,0.26001404698936798,0.26415114445389154,1.015911053700467
193,30,73,0.19432622127966556,0.19927675510915702,1.0254753774189169
194,73,72,0.18831910658162185,0.19853107175304566,1.0542269202355083
195,71,73,0.10175065405674465,0.10186552252154872,1.0011289211442318
196,56,73,0.10738788498531641,0.11792345958658922,1.0981076645909673
197,56,74,0.15129763577190714,0.17081147341682329,1.12897648760576
198,74,73,0.077351125774715507,0.087580242487924551,1.1322426352655972
199,56,75,0.12614026979150506,0.14038443357191274,1.1129232068708241
200,75,74,0.10871218438109849,0.12474926695670334,1.1475187226427692
201,68,56,0.10559815701530448,0.11629349958397528,1.1012834207619808
202,76,77,0.067920739473442099,0.074835220682095777,1.1018022074296958
203,77,75,0.092603667318563856,0.10945662964768604,1.1819902258422086
204,75,76,0.10506262016816373,0.1107842601531174,1.0544593307857313
205,76,78,0.098895620194371772,0.11105521889548094,1.1229538646626656
206,78,77,0.083496790039288019,0.10510315306460062,1.2587687863826393
207,76,79,0.080909783251603293,0.084629873613099774,1.0459782514795299
208,79,78,0.072782144017436157,0.086974076589480309,1.1949919552884323
209,76,70,0.10621239322036305,0.10891243968155574,1.0254211997237535
210,70,79,0.075995846995794827,0.082926859581377313,1.091202517763451
211,76,69,0.086654611482290242,0.087313674551033976,1.0076056318004314
212,76,68,0.11111912683616347,0.11594514205249909,1.043431003768156
213,74,72,0.19097341929421049,0.20698887322406498,1.0838622149042707
214,74,80,0.11914048107091452,0.13720781812754293,1.1516473401334884
215,80,72,0.17096746435903779,0.18332748350801731,1.072294569000702
216,74,81,0.15901168079824837,0.21925708251139761,1.3788740639097306
217,81,80,0.15794677761595,0.21546433966896483,1.3641578696392886
218,75,81,0.14386764009013672,0.19555459437758993,1.359267408953605
219,81,82,0.10460501519886566,0.14284632386228927,1.3655781569432657
220,82,80,0.15500667422014386,0.17679169750043339,1.140542485605168
221,81,83,0.069556224396681673,0.10022480298148002,1.4409178164975478
222,83,82,0.075077150513353175,0.090446929316269895,1.2047197942093322
223,81,78,0.1172702162369914,0.16975583448841172,1.4475613666930751
224,78,83,0.092465398232166193,0.11808254723157594,1.2770457867394793
225,81,77,0.084422691110467768,0.11990516741936064,1.4202954897808666
226,72,84,0.19445931133110456,0.19917223446741758,1.0242360373697321
227,84,28,0.20217655925567618,0.208457663346481,1.0310674200507173
228,72,85,0.34353095591534522,0.33090679765841352,0.9632517592969333
229,85,84,0.29154937376063728,0.28502522828678972,0.9776225021865288
230,80,85,0.28356194120895012,0.29022390691673089,1.0234938640897218
231,84,86,0.14210603676300113,0.15082370736673673,1.0613462369531463
232,86,28,0.30403991577140432,0.3200687851519714,1.0527196218295842
233,85,86,0.27285282801016725,0.27234869742660117,0.99815237178502947
234,87,85,0.15258397317198899,0.14840291986438836,0.97259834554912361
235,80,87,0.17200609024305108,0.18623085890159066,1.0826992151175545
