vertex,u
0,-0.041242299174402315
1,-0.090357322800866113
2,-0.37599710020204263
3,0.050485884315111598
4,-0.0069050632342508647
5,0.047594735444300977
6,0.18243987792533814
7,0.13742784646547918
8,-0.069812348294124915
9,-0.16255332570279421
10,-0.29112591839419222
11,-0.24386369023105905
12,-0.0076337095749356102
13,-0.26426337852679488
14,-0.067946585221120542
15,-0.21616545208082727
16,-0.15880138068656652
17,-0.18411298646046176
18,-0.28309660469302944
19,-0.27607936251487092
20,-0.22154585141898031
21,0.023019158500809222
22,0.079478045778107395
23,-0.20901555859914908
24,0.070472314975542238
25,-0.1618617726951197
26,-0.012066938862304092
27,-0.078026984635483271
28,0.022433390223100348
29,-0.11617434104491001
30,-0.046164657443383716
31,-0.09379825218059705
32,-0.03740155728047595
33,-0.067445037632642493
34,-0.037064196877231823
35,-0.063683253036830645
36,-0.12384157418149687
37,0.047356878959475497
38,-0.014257610468185463
39,0.10673815599572896
40,0.021625475909365185
41,0.098290304412682453
42,0.36079452857336103
43,0.11714513802102866
44,-0.08903997060915643
45,-0.015074543316073956
46,0.081580250964101028
47,-0.028208439226332413
48,0.011717417183792923
49,0.11512447023621357
50,0.076889830186019636
51,0.071340684834698812
52,-0.014405949505102024
53,0.089896738430051026
54,0.042922856418135043
55,-0.073787223531276327
56,0.090699553635022065
57,0.11260089237711775
58,0.022837658034328762
59,-0.057781865126845522
60,-0.1048874975476906
61,-0.097270507729814049
62,-0.10497497838135496
63,-0.081055346629308911
64,-0.12114368230517207
65,0.031799128022645326
66,0.085164307977119505
67,0.077523087935761958
68,0.10225293802949893
69,0.032377996958581755
70,0.067431196839881177
71,-0.094220664507645116
72,0.0091382092839924541
73,0.096477233291526104
74,0.15192336454931712
75,0.12328059314671343
76,-0.017224287354011325
77,0.21111870641466338
78,0.2491494727312156
79,0.10712943403799811
80,0.13046340955168742
81,0.49061117630560591
82,0.13254461801772247
83,0.23994938993444229
84,0.038755801313893549
85,-0.084019147403494421
86,0.080320473032827883
87,0.028450983255861272
88,-0.10574545257962652
89,-0.02342832436460732
90,0.17618274287220523
91,0.10772957975814211
92,0.13911217284624156
93,0.50152900231116937
94,0.10749536589058707
95,0.0061986317282761777
96,-0.0095417251455838514
97,0.016528963810837294
98,0.028069493010444972
99,0.023145653024459416
100,-0.043919765336235574
101,-0.049184914903647667
102,-0.067805157202040681
103,0.010146860113697625
104,-0.019395019007076193
105,-0.10982965749843891
106,0.0038451990317799165
107,0.076080213254052842
108,0.073666446678453304
109,0.13151452513622067
110,0.081647498492144366
111,0.069865861723859293
112,0.052982260021678482
113,0.0096509310277777729
114,0.045677653753834681
115,-0.011820232647073161
116,0.01500072600188064
117,0.026235915580332496
118,0.046510608693704054
119,-0.044883092753309067
120,0.008416767424771595
121,-0.079713513945905243
122,-0.017014780296461297
123,0.016309959147739472
124,0.018828423086531664
125,0.037167343630231921
126,-0.046898579925126208
127,0.044613005427063458
128,0.018499665885623792
129,0.059307258386813243
130,0.090054488321006002
