vertex,is_boundary,flattened,candidate,K_orig,K_final,K_rounded
0,0,1,0,-0.086637957415867994,0.009823809461818378,
1,0,1,0,0.026542234537751952,0.022876184812580469,
2,0,0,1,-0.48710277130660806,-1.6696816045659997,-1.5707963267948966
3,0,1,0,-0.70933771045946692,-0.055894327822112899,
4,0,1,0,0.04426964149318291,0.016253489307950453,
5,0,1,0,0.057948149252985637,-0.011797911716131537,
6,0,1,0,-0.77415199729340145,-0.036871228953473612,
7,0,1,0,-0.51921900713207148,0.0030814898967364002,
8,0,1,0,0.0687572069474367,0.042846115623187409,
9,0,1,0,-0.054331798128846032,0.010995682502313642,
10,0,1,0,0.30161310132488417,0.031011515294090408,
11,0,1,0,0.17800455215572608,0.019614597843549575,
12,0,0,1,0.66699138667493152,1.522754223821063,1.5707963267948966
13,0,1,0,0.56010726863634197,-0.031098375611865237,
14,0,1,0,-0.37027155141781876,0.013272644427896552,
15,0,1,0,0.16048858491587303,0.021377281623844446,
16,0,0,1,1.2180103157336584,1.6160837536455661,1.5707963267948966
17,0,1,0,0.067645329995689174,0.0025586268547836966,
18,0,1,0,0.30789945914195371,-0.01059207623917402,
19,0,1,0,0.29985248598597636,-0.019715375717883177,
20,0,1,0,0.24707313454896784,-0.012919037024571978,
21,0,1,0,-0.29475855351937952,0.0021774225351673948,
22,0,1,0,-0.29180622240126475,0.0084430371616290856,
23,0,1,0,0.18508384502337005,0.00073284428744990748,
24,0,1,0,-0.6145227120692347,-0.01998679239992196,
25,0,1,0,0.29472270421797742,0.041975555810132903,
26,0,1,0,0.0045202159332076164,-0.0020112025613858719,
27,0,1,0,0.077557089742869678,0.00099406174591010199,
28,0,1,0,0.08118840172709163,-0.00017983327580584074,
29,0,1,0,0.27583977553743821,-0.015504859731052534,
30,0,1,0,-0.0061176806190212929,0.0146714298975823,
31,0,1,0,0.16328842095797302,0.029398615642030279,
32,0,1,0,-0.048735308488661921,0.0079995392436593704,
33,0,1,0,0.18961594054436315,-0.0056675797094181135,
34,0,1,0,-0.00010978596250854622,0.011118586725214819,
35,0,1,0,0.095069302461038951,0.006220371535671454,
36,0,1,0,0.28214294622391467,-0.0027435140743685693,
37,0,1,0,0.15015686623095093,0.090857590442472436,
38,0,1,0,0.048889532306229277,0.0028826298823725338,
39,0,1,0,-0.4429456133662022,-0.010980612576079629,
40,0,1,0,0.26425320263749263,-0.0060824028712849199,
41,0,1,0,0.20842789145129892,0.016271407908320157,
42,0,0,1,0.38161468183909975,1.4303719272807127,1.5707963267948966
43,0,0,1,1.5309004066021972,1.6604259043026799,1.5707963267948966
44,0,1,0,0.64134656277111635,-0.071048771808861488,
45,0,1,0,0.063188856112375014,-0.00058698240566990023,
46,0,1,0,-0.0085550419993172255,-0.00052697884359709235,
47,0,1,0,0.16298113668877878,0.0030157269633388495,
48,0,1,0,0.18201545205841718,0.002230086817723631,
49,0,1,0,-0.26841855268690562,-0.0025684750579291205,
50,0,1,0,0.20727127101318032,0.027489076242576793,
51,0,1,0,-0.0010787646263965556,0.0082120845755317973,
52,0,1,0,0.098755360479018783,0.0032761756420658372,
53,0,1,0,-0.10000171983822526,0.0016861690935412454,
54,0,1,0,-0.060639357550931194,0.0033641954948633312,
55,0,1,0,-0.051367224616909901,0.0093576701248920813,
56,0,1,0,-0.13285758697614103,0.0022325769307265375,
57,0,1,0,-0.17575089241248953,-0.0044864531028201426,
58,0,1,0,-0.037373578296206134,0.0084294260390302966,
59,0,1,0,-0.047931249516267371,0.0040091443939616056,
60,0,1,0,0.020089222632128312,0.0011220331416863516,
61,0,1,0,0.0076811514446397666,0.002370222168606162,
62,0,1,0,0.18481804174382344,0.0011330084499805437,
