face,theta,dir0x,dir0y,dir0z,cx,cy,cz
77,-0.598908,0.845952,0.302693,0.439025,0.20927,-0.146748,0.839008
78,-0.642937,0.848361,0.102272,0.519446,0.156768,-0.151763,0.840237
79,-0.545252,0.864379,0.108735,0.490943,0.198727,-0.151758,0.816977
80,0.466983,0.960047,0.246293,-0.132851,-0.102632,0.131276,0.91751
81,0.452794,-0.965295,-0.235303,0.113304,-0.119694,0.136052,0.905181
82,0.453147,-0.950358,-0.302481,0.0729684,-0.121361,0.120132,0.926953
83,0.403209,-0.957186,-0.211211,0.197953,-0.0667278,0.13605,0.917346
84,0.353079,0.193055,-0.608137,0.77,-0.175027,0.120131,0.907495
85,0.303358,-0.174704,0.475961,-0.861939,-0.155267,0.131278,0.900614
86,0.31316,-0.14724,0.602065,-0.784754,-0.210767,0.113762,0.897253
87,0.277775,-0.213893,0.614938,-0.759013,-0.158184,0.113763,0.921505
88,-0.0688898,0.945364,0.278609,-0.169306,-0.0655559,0.120133,0.939034
89,-0.00972691,-0.944564,-0.315922,0.0893956,-0.102823,0.113764,0.938531
90,-0.0429148,-0.936961,-0.2945,0.188078,-0.0456381,0.113767,0.948052
91,-0.0534426,-0.949305,-0.223912,0.220645,-0.0481902,0.131276,0.927293
92,-0.0936044,0.96705,0.132321,-0.217499,-0.0666134,0.146726,0.893765
93,-0.0109801,-0.973134,-0.158424,0.167069,-0.100924,0.143779,0.894482
94,-0.0660914,-0.959846,-0.140668,0.24271,-0.0494799,0.143774,0.904299
95,-0.0860813,-0.967592,-0.0484428,0.247828,-0.0496243,0.150692,0.879985
96,0.286726,0.289441,-0.800956,0.524112,-0.177673,0.0754403,0.942719
97,0.259787,-0.261202,0.727732,-0.634176,-0.159107,0.0919363,0.939736
98,0.256932,-0.251966,0.80113,-0.542866,-0.214804,0.0666699,0.930212
99,0.245033,-0.310441,0.806663,-0.502913,-0.15789,0.0666786,0.954576
100,0.0387148,-0.896565,-0.407776,-0.172887,-0.214053,0.0919323,0.915258
101,-0.000517574,0.92204,0.378828,0.0795664,-0.177464,0.0996638,0.926658
102,0.0279331,0.898871,0.399687,0.179669,-0.230514,0.0996618,0.899863
103,0.00811471,0.87067,0.427327,0.243566,-0.232828,0.0754343,0.915829
104,0.480771,0.841167,0.448231,0.302535,-0.212896,0.0389433,0.941448
105,0.477628,-0.843198,-0.442358,-0.305511,-0.232358,0.0484204,0.928417
106,0.465116,-0.817278,-0.446095,-0.364768,-0.229096,0.0196224,0.937061
107,0.473235,-0.877711,-0.438601,-0.19301,-0.175559,0.0484311,0.9551
108,0.466953,0.927463,0.371854,-0.0392168,-0.101353,0.0919416,0.956613
109,0.454204,-0.933607,-0.357302,0.0266965,-0.121289,0.0996672,0.94616
110,0.459753,-0.916157,-0.400224,-0.0218684,-0.119389,0.075449,0.962046
111,0.427668,-0.931804,-0.338011,0.132251,-0.0629692,0.0996725,0.958001
112,-0.207408,0.927161,0.0951387,-0.362381,0.0358022,0.146723,0.897741
113,-0.120545,-0.940016,-0.122836,0.318247,0.00281765,0.143774,0.907297
114,-0.1735,-0.913951,-0.105389,0.391901,0.0550746,0.143776,0.903482
115,-0.211072,-0.925507,-0.0339351,0.377208,0.0486667,0.150686,0.880079
116,0.3766,0.929885,0.201919,-0.307479,0.00709403,0.131279,0.929868
117,0.353766,-0.94072,-0.187321,0.282765,-0.0125876,0.13605,0.922431
118,0.376632,-0.929863,-0.255363,0.264847,-0.0085907,0.120138,0.943747
119,0.307182,-0.916146,-0.163344,0.366053,0.0417716,0.136056,0.920474
120,0.0470348,-0.439397,0.120827,-0.89013,0.0969467,0.150686,0.870576
121,0.141059,0.431277,-0.337547,0.836697,0.0865186,0.146725,0.889751
122,0.0766553,0.465751,-0.121151,0.876583,0.124604,0.1517,0.853398
123,0.142737,0.408109,-0.119774,0.905042,0.0783671,0.1517,0.866643
124,0.173247,-0.315687,0.116264,-0.941714,-0.00048447,0.150686,0.883228
125,0.256673,0.311812,-0.326258,0.892373,-0.015537,0.146723,0.899111
126,0.20798,0.348431,-0.117846,0.929897,0.0307346,0.1517,0.873751
127,0.272903,0.287399,-0.116184,0.950738,-0.0174383,0.151703,0.874636
128,0.0294272,0.982395,0.171359,-0.0744082,-0.164392,0.146749,0.863462
129,0.108685,-0.980359,-0.196038,0.0215556,-0.197622,0.143793,0.855256
130,0.0487033,-0.979777,-0.177416,0.0925206,-0.150591,0.143789,0.878043
131,0.0465602,-0.990827,-0.0638541,0.119102,-0.144464,0.150732,0.854622
132,0.564276,0.9553,0.293338,0.0368133,-0.205178,0.131279,0.876966
133,0.55903,-0.956863,-0.286561,-0.0479133,-0.218435,0.136056,0.860671
134,0.535942,-0.928614,-0.353614,-0.112396,-0.225621,0.120131,0.881206
135,0.505422,-0.964822,-0.261164,0.030188,-0.170564,0.136056,0.886132
136,0.301048,-0.188112,0.111788,-0.975765,-0.0979043,0.150712,0.870409
137,0.37369,0.186482,-0.312434,0.931456,-0.116523,0.146738,0.881827
138,0.339564,0.225906,-0.114763,0.967365,-0.0653157,0.15172,0.869284
139,0.407712,0.164937,-0.111822,0.979945,-0.112044,0.151746,0.857784
140,0.438182,-0.0653092,0.103119,-0.992523,-0.188488,0.150736,0.83286
141,0.501859,0.0642323,-0.290929,0.954586,-0.209368,0.146748,0.839039
142,0.478207,0.105524,-0.107456,0.988594,-0.156815,0.151763,0.840237
143,0.552199,0.0486989,-0.102111,0.99358,-0.19881,0.151758,0.817003
144,0.415339,-0.878338,-0.364436,0.309369,0.0639308,0.0755062,0.972955
145,0.439178,0.864442,0.387957,-0.319732,0.0870843,0.0667478,0.973397
146,0.400584,0.877203,0.322291,-0.35587,0.0785235,0.0920015,0.961166
147,0.450505,0.893272,0.397515,-0.209875,0.0253954,0.0667285,0.980603
148,0.140344,-0.499403,0.766821,-0.403215,0.137146,0.0920128,0.947095
149,0.204667,0.483817,-0.831097,0.274224,0.124249,0.0755215,0.960776
150,0.151278,0.504363,-0.77212,0.386585,0.171111,0.0997404,0.929203
151,0.179065,0.474314,-0.765541,0.43471,0.114573,0.0997344,0.947927
152,-0.0529799,-0.906331,-0.339527,0.251568,0.0185144,0.0919762,0.967345
153,-0.107402,0.891613,0.299806,-0.339326,0.0560116,0.0997171,0.95898
154,-0.0806509,0.917686,0.319562,-0.236078,-0.00351973,0.0996891,0.962276
155,-0.0531107,0.904455,0.377073,-0.199442,0.0024909,0.0754829,0.97718
156,0.00129091,-0.879836,-0.448489,0.157309,0.0327291,0.0390052,0.989331
157,-0.0255857,0.865241,0.425872,-0.264557,0.0720264,0.048497,0.982594
158,-0.021456,0.89039,0.428992,-0.152221,0.00925153,0.0484783,0.987782
159,0.0143055,0.87592,0.47348,-0.0926365,0.0164454,0.0196829,0.993575
160,0.0771643,-0.480178,0.523617,-0.703743,0.116376,0.131301,0.913757
161,0.161415,0.463909,-0.65887,0.592182,0.10485,0.120175,0.93129
162,0.100183,0.498852,-0.525503,0.689197,0.147407,0.13607,0.895722
163,0.149909,0.449188,-0.519338,0.726993,0.0954234,0.136065,0.911571
164,-0.223857,0.822222,0.177777,-0.54069,0.159312,0.12018,0.913987
165,-0.14718,-0.849833,-0.226446,0.475927,0.126746,0.113819,0.932106
166,-0.18429,-0.800759,-0.201748,0.563988,0.181105,0.113823,0.911915
167,-0.235956,-0.822121,-0.129595,0.554367,0.168447,0.131304,0.895135
168,0.162096,-0.864261,-0.0557389,0.499945,0.135722,0.146726,0.875238
169,0.193368,0.844258,0.0673838,-0.531684,0.155812,0.143781,0.875825
170,0.152047,0.866147,0.0187378,-0.499438,0.143534,0.150686,0.854864
171,0.249624,0.881873,0.0867679,-0.463434,0.106364,0.143779,0.892948
172,0.340987,-0.904214,-0.231526,0.358876,0.0485436,0.120157,0.941187
173,0.366542,0.889731,0.25174,-0.380797,0.0701657,0.113805,0.944923
174,0.334526,0.902129,0.179664,-0.39228,0.0622751,0.13129,0.925367
175,0.399418,0.918582,0.273588,-0.285232,0.0123553,0.113781,0.950174
176,0.000116041,-0.891424,-0.447609,-0.0707805,-0.0933997,0.0389699,0.981469
177,-0.0179736,0.90115,0.431777,-0.0387007,-0.0536811,0.0484597,0.984911
178,-0.0150049,0.897385,0.434678,0.0758666,-0.115651,0.0484437,0.974017
179,-0.0019371,0.877872,0.459512,0.13487,-0.110236,0.0196503,0.981469
180,0.445052,-0.917079,-0.388526,0.0895197,-0.0589783,0.0754609,0.973511
181,0.461355,0.908459,0.406002,-0.0993241,-0.0367246,0.0667052,0.979823
182,0.444993,0.923168,0.355385,-0.146501,-0.0417969,0.0919516,0.965798
183,0.471998,0.909889,0.414646,0.0130623,-0.0981865,0.0666892,0.971147
184,0.242552,0.398066,-0.885184,0.240816,-0.171181,0.019635,0.963207
185,0.237387,-0.362753,0.859433,-0.360257,-0.154522,0.0389559,0.965441
186,0.226482,-0.373817,0.889869,-0.261523,-0.208418,0.00978922,0.94848
187,0.238167,-0.415008,0.884617,-0.212653,-0.149146,0.0098032,0.971783
188,0.256636,0.460251,-0.87847,0.128295,-0.0473157,0.0196656,0.991583
189,0.236077,-0.44376,0.859375,-0.254072,-0.0306095,0.0389872,0.989447
190,0.249186,-0.449788,0.87932,-0.156486,-0.0872233,0.0098185,0.987048
191,0.260263,-0.476338,0.873773,-0.0981005,-0.0237384,0.00983447,0.994162
192,-0.000125299,-0.8096,-0.44809,0.379161,0.156551,0.0390451,0.964835
193,-0.0360286,0.771072,0.417515,-0.480759,0.192655,0.0485342,0.948185
194,-0.0309238,0.825098,0.421659,-0.376054,0.133524,0.0485163,0.969352
195,0.0296284,0.814581,0.487922,-0.313672,0.141953,0.0197255,0.97312
196,0.380396,-0.784554,-0.334242,0.522262,0.182364,0.0755335,0.940796
197,0.412206,0.764785,0.364272,-0.531423,0.204769,0.0667764,0.9353
198,0.349109,0.781648,0.281483,-0.556592,0.193356,0.0920201,0.925482
199,0.425968,0.821064,0.376228,-0.429309,0.147223,0.0667624,0.958198
200,0.272162,0.491609,-0.87081,0.00317146,0.0799104,0.0197036,0.987408
201,0.235913,-0.49427,0.859016,-0.133376,0.0954926,0.0390245,0.981128
202,0.271925,-0.495153,0.868137,-0.0340806,0.0401605,0.00985377,0.993117
203,0.284454,-0.505752,0.862072,0.0323544,0.103344,0.00987573,0.983917
204,0.290061,0.488085,-0.862405,-0.134274,0.201477,0.0197448,0.950778
205,0.236262,-0.510632,0.859799,0.00122631,0.214853,0.0390618,0.940683
206,0.297534,-0.506864,0.855613,0.104952,0.164681,0.00989769,0.966565
207,0.312344,-0.499192,0.848022,0.177951,0.223113,0.00991367,0.94127
208,-0.200496,0.762393,0.180345,-0.621476,0.177175,0.0754084,0.679731
209,-0.20058,-0.747783,-0.183009,0.638223,0.16784,0.0666287,0.682998
210,-0.20323,-0.781608,-0.166586,0.601114,0.174167,0.0918544,0.696544
211,-0.269778,-0.6678,-0.245875,0.702558,0.189077,0.0667378,0.659728
212,0.0356654,0.241519,0.805532,0.541097,0.148169,0.0918105,0.71758
213,0.00905671,-0.162964,-0.885101,-0.435935,0.153358,0.0753398,0.701276
214,0.0342434,-0.242094,-0.802982,-0.54462,0.131154,0.0995281,0.735079
215,-0.0389702,-0.248268,-0.798931,-0.547789,0.159642,0.0995454,0.716114
216,0.644887,-0.269608,-0.782734,-0.560926,0.197107,0.0919416,0.672259
217,0.718452,0.259153,0.790042,0.555584,0.185302,0.0996,0.693566
218,0.64388,0.276096,0.77587,0.567271,0.20775,0.0996898,0.667813
219,0.625403,0.172877,0.860374,0.479447,0.197873,0.0755255,0.655233
220,0.64335,-0.0554255,-0.934438,-0.351786,0.185156,0.039093,0.649063
221,0.691773,0.061516,0.937889,0.341439,0.17285,0.0484517,0.667904
222,0.625474,0.0625159,0.923584,0.378264,0.192048,0.0485994,0.644153
223,0.641846,-0.0527533,0.962008,0.267875,0.190572,0.0199072,0.635112
224,-0.0329712,0.400319,0.536825,0.742674,0.16646,0.131178,0.752232
225,-0.0844559,-0.33327,-0.683261,-0.649681,0.169091,0.120021,0.732853
226,-0.049577,-0.384955,-0.538798,-0.749337,0.148136,0.135959,0.772376
227,-0.126232,-0.415836,-0.537113,-0.733887,0.181265,0.135969,0.75079
228,-0.66027,-0.892664,-0.0213793,0.450215,0.138386,0.120007,0.75295
229,-0.746104,0.85431,0.084792,-0.5128,0.155908,0.113638,0.734115
230,-0.670246,0.894389,0.0312709,-0.446195,0.125107,0.113632,0.752448
231,-0.62284,0.894179,0.0165418,-0.447404,0.133245,0.131171,0.771832
232,0.0118282,0.875622,-0.00413558,-0.482979,0.159915,0.14667,0.792613
233,-0.0110262,-0.88728,-0.00383603,0.461215,0.143534,0.143709,0.792355
234,0.0164911,-0.873064,0.0020435,0.487601,0.155492,0.150659,0.813336
235,-0.0877594,-0.857084,-0.0307786,0.514257,0.179321,0.143712,0.771192
236,-0.185735,0.806742,0.128018,-0.57687,0.196836,0.120062,0.708866
237,-0.198386,-0.806974,-0.13831,0.574162,0.183961,0.113674,0.711874
238,-0.186147,-0.821568,-0.101047,0.561084,0.196771,0.1312,0.728401
239,-0.274711,-0.754564,-0.190398,0.627998,0.20882,0.113736,0.686111
240,0.509556,-0.0921527,-0.892868,-0.440789,0.214727,0.0395536,0.596722
241,0.556745,0.075904,0.903613,0.421571,0.207864,0.0488051,0.618069
242,0.485755,0.101622,0.877982,0.467784,0.220117,0.0490533,0.590108
243,0.514006,-0.0240484,0.922448,0.385372,0.216205,0.0204848,0.581988
244,-0.344156,0.606295,0.305772,-0.734105,0.215147,0.0756819,0.628201
245,-0.340162,-0.582577,-0.308027,0.752146,0.207012,0.0668962,0.633847
246,-0.351257,-0.646593,-0.284584,0.707764,0.216651,0.0920594,0.64514
247,-0.411873,-0.496401,-0.368839,0.78584,0.221388,0.0670905,0.605809
248,-0.241027,-0.0131797,-0.893163,-0.449541,0.223566,0.0208435,0.553335
249,-0.239461,0.130382,0.86299,0.488108,0.224109,0.0398484,0.568068
250,-0.264246,0.0505694,0.878304,0.47542,0.225542,0.0113771,0.531563
251,-0.18588,-0.00178056,0.911524,0.411244,0.221052,0.0109798,0.56064
252,-0.0934173,0.0460112,-0.945207,-0.323213,0.205177,0.0201674,0.609409
253,-0.0910588,0.0670987,0.916691,0.393924,0.201696,0.039296,0.623882
254,-0.11191,-0.037403,0.937592,0.345721,0.212822,0.0106078,0.588863
255,-0.0464027,-0.0562484,0.956743,0.285446,0.200944,0.010285,0.615731
256,0.768129,-0.0610935,-0.957204,-0.282893,0.142575,0.0388688,0.691883
257,-0.747758,-0.871136,-0.0675197,0.486377,0.125648,0.0483173,0.706958
258,0.757005,0.0689764,0.948106,0.310384,0.150593,0.0483592,0.688948
259,0.752986,-0.0348619,0.983034,0.180083,0.151518,0.0195951,0.679732
260,-0.0592185,0.884424,0.0527655,-0.463692,0.126819,0.0753132,0.719544
261,-0.0632535,-0.874948,-0.0572541,0.480821,0.116859,0.0665515,0.720281
262,-0.0566224,-0.887629,-0.0459229,0.458264,0.119538,0.0918012,0.735033
263,-0.132331,-0.816978,-0.120744,0.563887,0.143626,0.0665694,0.703286
264,0.029621,0.0489262,-0.974253,-0.220085,0.172586,0.0197175,0.658675
265,0.0388657,0.053336,0.947787,0.314412,0.165336,0.0389526,0.671844
266,0.0107091,-0.0632872,0.970604,0.232211,0.185516,0.0100308,0.640784
267,0.0605508,-0.05964,0.980546,0.187008,0.166786,0.00985045,0.663629
268,0.139124,0.0113762,-0.989558,-0.143688,0.127756,0.0195345,0.697971
269,0.16311,0.0782814,0.963962,0.254264,0.117274,0.0388368,0.708856
270,0.108095,-0.0483222,0.988176,0.145511,0.145072,0.00974131,0.683923
271,0.161203,-0.0224702,0.993929,0.107706,0.120788,0.00969273,0.701335
272,-0.416552,-0.69105,-0.216621,0.689583,0.265952,0.13126,0.636238
273,-0.39912,0.685206,0.205004,-0.698904,0.278191,0.135987,0.627616
274,-0.414641,0.64877,0.274537,-0.709738,0.258489,0.120209,0.618201
275,-0.321218,0.729397,0.168138,-0.663106,0.260109,0.136008,0.662832
276,-0.478359,-0.478449,-0.596643,-0.644285,0.270794,0.120223,0.583682
277,-0.428331,0.57009,0.467768,0.675419,0.280568,0.131235,0.600582
278,-0.468816,0.512095,0.568482,0.643885,0.26994,0.113939,0.558183
279,-0.391106,0.471382,0.599456,0.646878,0.260955,0.113924,0.592678
280,0.604076,0.409275,0.645238,0.645106,0.241877,0.120168,0.650997
281,0.519528,-0.433851,-0.626323,-0.647683,0.247615,0.113873,0.625938
282,0.596935,-0.400278,-0.648504,-0.647472,0.230151,0.113807,0.657284
283,0.640321,-0.499651,-0.506716,-0.702559,0.246908,0.131253,0.669854
284,0.723786,0.609776,0.3292,0.720972,0.28057,0.146625,0.674517
285,0.618735,-0.626297,-0.316111,-0.712619,0.286749,0.143658,0.646286
286,0.698793,-0.590945,-0.327338,-0.737315,0.266169,0.143703,0.682441
287,0.765021,-0.661409,-0.116936,-0.740854,0.287159,0.150588,0.694759
288,-0.366699,-0.260551,-0.781355,-0.567096,0.238608,0.0760532,0.568551
289,-0.345394,0.364709,0.707841,0.604936,0.244555,0.0923236,0.584448
290,-0.370069,0.303103,0.75729,0.578482,0.238873,0.0675271,0.545403
291,-0.29378,0.25387,0.793803,0.552654,0.232067,0.0673061,0.576134
292,0.33826,-0.410197,-0.672739,-0.61576,0.25249,0.0924414,0.55206
293,0.41358,0.370513,0.700093,0.610401,0.252859,0.100007,0.576268
294,0.3331,0.41445,0.665463,0.620798,0.259731,0.100075,0.542971
295,0.325173,0.309283,0.744461,0.591711,0.24445,0.0762322,0.537093
296,-0.527216,-0.212791,-0.494864,0.842514,0.229754,0.0401638,0.538458
297,-0.547176,0.261669,0.50233,-0.824132,0.233416,0.0496136,0.53066
298,-0.51389,0.143698,0.497468,-0.855498,0.22717,0.0212155,0.52397
299,-0.472668,0.351936,0.441948,-0.82512,0.228669,0.0493301,0.560785
300,-0.424874,-0.577909,-0.339167,0.742285,0.232542,0.0921898,0.615682
301,-0.420612,0.59439,0.329222,-0.733698,0.241776,0.0999047,0.608595
302,-0.416411,0.526855,0.364827,-0.767675,0.228779,0.0758616,0.599119
303,-0.345641,0.661041,0.274623,-0.698289,0.226655,0.0997963,0.639312
304,-0.690497,-0.810105,-0.0481211,0.584306,0.22793,0.146673,0.741453
305,0.777513,-0.553446,-0.336534,-0.761868,0.241125,0.143719,0.71571
306,-0.716757,0.823898,0.0571204,-0.563853,0.21203,0.143719,0.74548
307,-0.65198,0.810366,0.0158792,-0.585709,0.229076,0.150654,0.762639
308,-0.262459,-0.779794,-0.141025,0.609945,0.223722,0.13123,0.70077
309,-0.243845,0.773032,0.129586,-0.620991,0.237687,0.136005,0.695501
310,-0.261601,0.756392,0.178539,-0.629281,0.221217,0.120116,0.68141
311,-0.167377,0.814656,0.089951,-0.572926,0.21126,0.135988,0.725006
312,-0.0709177,0.533458,0.123682,0.836735,0.193947,0.150659,0.790404
313,-0.155928,-0.495526,-0.348442,-0.795639,0.195597,0.146673,0.769277
314,-0.095362,-0.512602,-0.124964,-0.849484,0.173249,0.151687,0.813041
315,-0.166283,-0.561571,-0.124603,-0.817993,0.211525,0.151685,0.787792
316,-0.217856,0.622588,0.120049,0.773287,0.260302,0.150634,0.730572
317,-0.307855,-0.573818,-0.33799,-0.745986,0.256406,0.146661,0.709673
318,-0.237384,-0.606978,-0.123122,-0.785123,0.246167,0.151673,0.757795
319,-0.312215,-0.648279,-0.120916,-0.75174,0.276653,0.151639,0.723583
320,0.556208,0.674651,0.304774,0.672279,0.314557,0.146417,0.596852
321,0.445791,-0.690538,-0.286797,-0.664007,0.313343,0.143401,0.568291
322,0.5342,-0.659522,-0.302497,-0.688133,0.302575,0.143568,0.607967
323,0.597302,-0.72647,-0.108051,-0.678651,0.32612,0.150352,0.614719
324,-0.576889,-0.603433,-0.285111,0.744702,0.290521,0.131155,0.563623
325,-0.563484,0.598801,0.274797,-0.752279,0.300241,0.135785,0.552452
326,-0.573252,0.542939,0.362123,-0.757683,0.278593,0.120185,0.548131
327,-0.478793,0.641667,0.239986,-0.728471,0.291641,0.135922,0.590576
328,-0.376053,0.69601,0.113118,0.709066,0.309215,0.150503,0.655867
329,-0.464151,-0.643433,-0.318021,-0.696317,0.30006,0.146552,0.636644
330,-0.390488,-0.685124,-0.117891,-0.718824,0.302492,0.151573,0.685751
331,-0.468191,-0.717451,-0.113594,-0.687284,0.323292,0.151454,0.645057
332,-0.537084,0.753005,0.102303,0.650013,0.337539,0.150105,0.572168
333,-0.620512,-0.703524,-0.28945,-0.649055,0.323774,0.146189,0.555942
334,-0.547644,-0.745361,-0.108525,-0.657769,0.338671,0.151251,0.602384
335,-0.630674,-0.769226,-0.103524,-0.630535,0.348317,0.150948,0.558549
336,-0.203749,0.423395,0.116262,-0.898454,0.243303,-0.131002,0.674181
337,-0.196476,-0.427173,-0.111041,0.897326,0.24205,-0.135859,0.688953
338,-0.207173,-0.439941,-0.148334,0.885691,0.224284,-0.119956,0.676608
339,-0.0902477,-0.387595,-0.0583725,0.91998,0.262786,-0.135561,0.656267
340,-0.306338,-0.720596,0.651116,-0.238305,0.20076,-0.120137,0.704364
