face,alpha_mod,dirx,diry,dirz,cx,cy,cz
7166,0.848368,0.975072,0.221488,-0.013349,0.494958,0.190381,0.549391
7167,0.383845,-0.452943,0.165747,0.875997,0.473146,0.177061,0.525795
7168,0.384983,-0.468676,0.208746,0.858352,0.458231,0.163515,0.509207
7169,1.56265,0.753015,0.0248277,-0.657534,0.449264,0.152921,0.498708
7170,0.466681,-0.454504,0.338398,0.823962,0.43257,0.128309,0.480649
7171,1.46729,0.299044,0.827206,0.475714,0.422263,0.107251,0.469168
7172,0.459682,-0.524976,0.397967,0.752345,0.413884,0.0843573,0.459823
7173,0.5803,-0.494566,0.519217,0.697006,0.407577,0.0600213,0.452776
7174,0.162715,-0.703193,0.158889,0.693018,0.403449,0.0346586,0.448148
7175,0.800123,0.556527,0.69693,-0.45229,0.401974,0.017404,0.44642
7176,1.24066,-0.280006,0.943977,0.174653,0.401974,-0.017404,0.44642
7177,0.299622,0.0960046,0.934856,-0.341799,0.403449,-0.0346586,0.448148
7178,1.49034,0.717851,0.0642221,-0.693229,0.407577,-0.0600213,0.452776
7179,0.17146,-0.156833,0.88105,-0.446267,0.413884,-0.0843573,0.459823
7180,0.759178,0.24923,0.590665,-0.767462,0.422263,-0.107251,0.469168
7181,0.202698,-0.269313,0.732553,-0.625169,0.43257,-0.128309,0.480649
7182,0.683441,-0.891567,0.416522,0.177813,0.449264,-0.152921,0.498708
7183,0.221774,-0.361327,0.537965,-0.761602,0.458231,-0.163515,0.509207
7184,0.0361666,-0.554758,0.44147,-0.705229,0.473146,-0.177061,0.525795
7185,1.24753,-0.84271,0.304961,-0.443665,0.494958,-0.190381,0.549391
7186,0.89667,-0.978483,0.152537,-0.138934,0.511923,-0.196587,0.568221
7187,0.346724,-0.351143,0.0606754,-0.934354,0.523129,-0.198859,0.581341
7188,0.061624,-0.599975,-0.0651551,-0.797361,0.540584,-0.199429,0.600728
7189,0.576796,-0.119802,-0.159439,-0.979912,0.557944,-0.196587,0.620002
7190,0.974173,0.281304,-0.170679,-0.944318,0.574909,-0.190381,0.638832
7191,1.1617,-0.850563,-0.406075,-0.334134,0.59672,-0.177061,0.662428
7192,0.862141,0.219733,-0.347806,-0.911454,0.606509,-0.168359,0.673889
7193,0.724541,0.130826,-0.480804,-0.867013,0.620603,-0.152921,0.689515
7194,1.0858,0.46007,-0.333252,-0.822969,0.633231,-0.134865,0.703509
7195,0.43173,-0.824664,-0.348001,0.445897,0.647604,-0.107251,0.719057
7196,0.0750024,-0.231002,-0.893201,-0.385784,0.653255,-0.0921786,0.725673
7197,1.39835,0.690258,-0.150737,-0.707688,0.660308,-0.0682786,0.733465
7198,0.0299572,-0.737956,-0.0293779,0.674209,0.666418,-0.0346586,0.740075
7199,0.217109,0.116695,-0.973893,-0.194716,0.667893,-0.017404,0.741803
7200,0.359827,-0.61843,-0.35136,0.702916,0.724035,0.017404,0.687114
7201,0.446186,0.417804,-0.888029,-0.191947,0.722429,0.0346586,0.685507
7202,1.47107,0.700964,-0.106167,-0.70525,0.717951,0.0600213,0.681217
7203,0.416931,-0.489202,-0.363249,0.792926,0.708177,0.0921786,0.672182
